date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2010-01-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,29.2,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-02-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-03-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-04-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-05-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-06-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-07-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-08-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-09-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-10-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,28.4,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-11-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,29.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2010-12-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-01-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-02-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
2012-03-15,"Rice (regular, milled) - Retail",KG,cereals and tubers,30.0,PHP,Philippines,Cordillera Administrative region (CAR),2354,La Trinidad,168,80,15,5,1,168_80_15_5,1
